Data,Produto,Preco_Unitario,Vendas_Do_Dia,Estoque_Disponivel,Fim_De_Semana
2025-03-11,Mouse Gamer,150.0,64,82,0
2025-03-12,Mouse Gamer,150.0,62,149,0
2025-03-13,Mouse Gamer,150.0,58,173,0
2025-03-14,Mouse Gamer,150.0,80,176,1
2025-03-15,Mouse Gamer,150.0,73,103,1
2025-03-16,Mouse Gamer,150.0,81,203,1
2025-03-17,Mouse Gamer,150.0,56,109,0
2025-03-18,Mouse Gamer,150.0,56,147,0
2025-03-19,Mouse Gamer,150.0,64,151,0
2025-03-20,Mouse Gamer,150.0,44,104,0
2025-03-21,Mouse Gamer,150.0,87,179,1
2025-03-22,Mouse Gamer,150.0,73,203,1
2025-03-23,Mouse Gamer,150.0,70,134,1
2025-03-24,Mouse Gamer,150.0,64,142,0
2025-03-25,Mouse Gamer,150.0,58,138,0
2025-03-26,Mouse Gamer,150.0,64,161,0
2025-03-27,Mouse Gamer,150.0,44,122,0
2025-03-28,Mouse Gamer,150.0,86,167,1
2025-03-29,Mouse Gamer,150.0,84,100,1
2025-03-30,Mouse Gamer,150.0,83,127,1
2025-03-31,Mouse Gamer,150.0,60,79,0
2025-04-01,Mouse Gamer,150.0,56,68,0
2025-04-02,Mouse Gamer,150.0,57,127,0
2025-04-03,Mouse Gamer,150.0,54,91,0
2025-04-04,Mouse Gamer,150.0,79,142,1
2025-04-05,Mouse Gamer,150.0,82,175,1
2025-04-06,Mouse Gamer,150.0,73,199,1
2025-04-07,Mouse Gamer,150.0,56,139,0
2025-04-08,Mouse Gamer,150.0,49,139,0
2025-04-09,Mouse Gamer,150.0,60,76,0
2025-04-10,Mouse Gamer,150.0,56,79,0
2025-04-11,Mouse Gamer,150.0,78,227,1
2025-04-12,Mouse Gamer,150.0,79,178,1
2025-04-13,Mouse Gamer,150.0,87,258,1
2025-04-14,Mouse Gamer,150.0,58,163,0
2025-04-15,Mouse Gamer,150.0,62,184,0
2025-04-16,Mouse Gamer,150.0,57,109,0
2025-04-17,Mouse Gamer,150.0,57,154,0
2025-04-18,Mouse Gamer,150.0,86,121,1
2025-04-19,Mouse Gamer,150.0,80,102,1
2025-04-20,Mouse Gamer,150.0,81,236,1
2025-04-21,Mouse Gamer,150.0,57,153,0
2025-04-22,Mouse Gamer,150.0,60,95,0
2025-04-23,Mouse Gamer,150.0,63,134,0
2025-04-24,Mouse Gamer,150.0,60,100,0
2025-04-25,Mouse Gamer,150.0,95,202,1
2025-04-26,Mouse Gamer,150.0,84,236,1
2025-04-27,Mouse Gamer,150.0,83,168,1
2025-04-28,Mouse Gamer,150.0,64,80,0
2025-04-29,Mouse Gamer,150.0,61,171,0
2025-04-30,Mouse Gamer,150.0,56,106,0
2025-05-01,Mouse Gamer,150.0,63,106,0
2025-05-02,Mouse Gamer,150.0,80,218,1
2025-05-03,Mouse Gamer,150.0,83,104,1
2025-05-04,Mouse Gamer,150.0,85,214,1
2025-05-05,Mouse Gamer,150.0,56,95,0
2025-05-06,Mouse Gamer,150.0,56,120,0
2025-05-07,Mouse Gamer,150.0,58,170,0
2025-05-08,Mouse Gamer,150.0,57,161,0
2025-05-09,Mouse Gamer,150.0,88,196,1
2025-05-10,Mouse Gamer,150.0,85,234,1
2025-05-11,Mouse Gamer,150.0,93,234,1
2025-05-12,Mouse Gamer,150.0,63,103,0
2025-05-13,Mouse Gamer,150.0,57,84,0
2025-05-14,Mouse Gamer,150.0,55,89,0
2025-05-15,Mouse Gamer,150.0,52,149,0
2025-05-16,Mouse Gamer,150.0,84,129,1
2025-05-17,Mouse Gamer,150.0,80,222,1
2025-05-18,Mouse Gamer,150.0,82,228,1
2025-05-19,Mouse Gamer,150.0,60,72,0
2025-05-20,Mouse Gamer,150.0,54,153,0
2025-05-21,Mouse Gamer,150.0,60,72,0
2025-05-22,Mouse Gamer,150.0,65,108,0
2025-05-23,Mouse Gamer,150.0,84,130,1
2025-05-24,Mouse Gamer,150.0,81,178,1
2025-05-25,Mouse Gamer,150.0,80,112,1
2025-05-26,Mouse Gamer,150.0,56,95,0
2025-05-27,Mouse Gamer,150.0,58,71,0
2025-05-28,Mouse Gamer,150.0,63,120,0
2025-05-29,Mouse Gamer,150.0,56,85,0
2025-05-30,Mouse Gamer,150.0,87,131,1
2025-05-31,Mouse Gamer,150.0,86,222,1
2025-06-01,Mouse Gamer,150.0,86,176,1
2025-06-02,Mouse Gamer,150.0,62,80,0
2025-06-03,Mouse Gamer,150.0,67,152,0
2025-06-04,Mouse Gamer,150.0,53,100,0
